player,points_bf,points_af,team,game_id
Collins,24.0,11.0,home,21900837.0
Young,12.0,13.0,home,21900837.0
Reddish,18.0,2.0,home,21900837.0
Graham,5.0,0.0,home,21900837.0
Goodwin,2.0,0.0,home,21900837.0
Fernando,4.0,2.0,home,21900837.0
Teague,3.0,4.0,home,21900837.0
Huerter,3.0,0.0,home,21900837.0
Dedmon,2.0,6.0,home,21900837.0
Brunson,2.0,0.0,visitor,21900837.0
Hardaway,23.0,10.0,visitor,21900837.0
Wright,14.0,0.0,visitor,21900837.0
Curry,19.0,3.0,visitor,21900837.0
Marjanovic,2.0,0.0,visitor,21900837.0
Barea,6.0,2.0,visitor,21900837.0
Lee,1.0,0.0,visitor,21900837.0
Jackson,8.0,2.0,visitor,21900837.0
Kleber,5.0,4.0,visitor,21900837.0
Finney-Smith,6.0,0.0,visitor,21900837.0
Collins,17.0,16.0,home,21900656.0
Hunter,5.0,3.0,home,21900656.0
Huerter,4.0,8.0,home,21900656.0
Len,3.0,4.0,home,21900656.0
Reddish,5.0,5.0,home,21900656.0
Fernando,2.0,4.0,home,21900656.0
Graham,1.0,0.0,home,21900656.0
Carter,0.0,3.0,home,21900656.0
Teague,0.0,3.0,home,21900656.0
Goodwin,0.0,19.0,home,21900656.0
Zubac,11.0,0.0,visitor,21900656.0
Shamet,6.0,7.0,visitor,21900656.0
Williams,7.0,11.0,visitor,21900656.0
McGruder,5.0,2.0,visitor,21900656.0
Harrell,19.0,11.0,visitor,21900656.0
Robinson,3.0,0.0,visitor,21900656.0
Green,3.0,0.0,visitor,21900656.0
Harkless,2.0,4.0,visitor,21900656.0
Patterson,0.0,2.0,visitor,21900656.0
Mann,0.0,1.0,visitor,21900656.0
Walton,0.0,1.0,visitor,21900656.0
Murray,12.0,1.0,home,21900624.0
Aldridge,24.0,6.0,home,21900624.0
DeRozan,21.0,4.0,home,21900624.0
Belinelli,9.0,0.0,home,21900624.0
White,8.0,0.0,home,21900624.0
Poeltl,4.0,0.0,home,21900624.0
Forbes,7.0,0.0,home,21900624.0
Mills,13.0,2.0,home,21900624.0
Walker,9.0,0.0,home,21900624.0
Hunter,6.0,0.0,visitor,21900624.0
Huerter,10.0,8.0,visitor,21900624.0
Young,19.0,12.0,visitor,21900624.0
Collins,16.0,2.0,visitor,21900624.0
Carter,14.0,0.0,visitor,21900624.0
Jones,4.0,0.0,visitor,21900624.0
Reddish,16.0,6.0,visitor,21900624.0
Bembry,1.0,0.0,visitor,21900624.0
Goodwin,4.0,0.0,visitor,21900624.0
Fernando,3.0,0.0,visitor,21900624.0
Isaac,9.0,4.0,home,21900491.0
Iwundu,2.0,2.0,home,21900491.0
Fultz,2.0,1.0,home,21900491.0
Vucevic,15.0,12.0,home,21900491.0
Fournier,11.0,11.0,home,21900491.0
Bamba,2.0,1.0,home,21900491.0
Augustin,14.0,3.0,home,21900491.0
Ross,0.0,4.0,home,21900491.0
Collins,6.0,4.0,visitor,21900491.0
Hunter,8.0,8.0,visitor,21900491.0
Huerter,5.0,14.0,visitor,21900491.0
Bembry,4.0,0.0,visitor,21900491.0
Goodwin,4.0,17.0,visitor,21900491.0
Len,8.0,10.0,visitor,21900491.0
Jones,2.0,0.0,visitor,21900491.0
Carter,0.0,4.0,visitor,21900491.0
Crabbe,0.0,3.0,visitor,21900491.0
Fernando,0.0,2.0,visitor,21900491.0
Reddish,0.0,2.0,visitor,21900491.0
Temple,13.0,12.0,home,21900431.0
Harris,11.0,7.0,home,21900431.0
Dinwiddie,20.0,19.0,home,21900431.0
Prince,8.0,4.0,home,21900431.0
Allen,6.0,0.0,home,21900431.0
Jordan,5.0,7.0,home,21900431.0
Kurucs,6.0,0.0,home,21900431.0
Chandler,0.0,4.0,home,21900431.0
Hunter,10.0,4.0,visitor,21900431.0
Huerter,9.0,0.0,visitor,21900431.0
Fernando,1.0,0.0,visitor,21900431.0
Young,29.0,18.0,visitor,21900431.0
Reddish,4.0,0.0,visitor,21900431.0
Len,18.0,5.0,visitor,21900431.0
Parker,5.0,0.0,visitor,21900431.0
Bembry,9.0,0.0,visitor,21900431.0
Walker,11.0,3.0,home,21900949.0
Smart,12.0,7.0,home,21900949.0
Tatum,13.0,6.0,home,21900949.0
Theis,5.0,6.0,home,21900949.0
Hayward,9.0,15.0,home,21900949.0
Langford,4.0,2.0,home,21900949.0
Wanamaker,2.0,0.0,home,21900949.0
Williams,4.0,2.0,home,21900949.0
Gallinari,10.0,8.0,visitor,21900949.0
Paul,8.0,20.0,visitor,21900949.0
Adams,3.0,3.0,visitor,21900949.0
Dort,3.0,5.0,visitor,21900949.0
Ferguson,4.0,0.0,visitor,21900949.0
Schroder,11.0,16.0,visitor,21900949.0
Diallo,3.0,0.0,visitor,21900949.0
Nader,3.0,3.0,visitor,21900949.0
Noel,0.0,5.0,visitor,21900949.0
Theis,10.0,6.0,home,21900910.0
Brown,15.0,7.0,home,21900910.0
Walker,15.0,6.0,home,21900910.0
Smart,12.0,2.0,home,21900910.0
Williams,2.0,8.0,home,21900910.0
Hayward,7.0,0.0,home,21900910.0
Kanter,5.0,0.0,home,21900910.0
Edwards,6.0,2.0,home,21900910.0
Wanamaker,9.0,0.0,home,21900910.0
Green,2.0,0.0,home,21900910.0
Langford,2.0,0.0,home,21900910.0
Dinwiddie,14.0,0.0,visitor,21900910.0
Allen,8.0,0.0,visitor,21900910.0
LeVert,14.0,37.0,visitor,21900910.0
Harris,10.0,0.0,visitor,21900910.0
Chandler,3.0,0.0,visitor,21900910.0
Jordan,4.0,4.0,visitor,21900910.0
Luwawu-Cabarrot,7.0,9.0,visitor,21900910.0
Prince,2.0,0.0,visitor,21900910.0
Temple,4.0,0.0,visitor,21900910.0
Chiozza,3.0,5.0,visitor,21900910.0
Kurucs,0.0,5.0,visitor,21900910.0
Brown,10.0,12.0,home,21900892.0
Theis,2.0,6.0,home,21900892.0
Hayward,6.0,12.0,home,21900892.0
Tatum,9.0,23.0,home,21900892.0
Smart,10.0,16.0,home,21900892.0
Williams,2.0,0.0,home,21900892.0
